job_title,level_job,job_type,annual_salary_usd,benefits,onsite_remote,category_job,company,location,skills,country,region
DB/ETL Developer,N/A,Full Time,156500.0,,onsite,,, India,"Agile, AWS, Azure, BigQuery, Computer Science, Consulting, CX",India,World
Data Analyst,Senior,Full Time,111000.0,,onsite,,, Ukraine,Research,Ukraine,World
Senior Machine Learning Engineer,Senior,Full Time,122000.0,"Career development,Salary bonus,Startup environment",onsite,,, UK,"Bayesian, Biology, Computer Science, Computer Vision, Deep Learning, Drug discovery, Generative modeling",,
Data Engineer,Senior,Full Time,147500.0,"Career development,Equity,Flex hours,Flex vacation,Gear",remote,,,Remote job,"Agile, AWS, Azure, Big Data, Consulting, Data pipelines, Docker",,
Mid-Level Data Scientist (US-030223),Mid,Full Time,88000.0,"401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",onsite,,, DC,"Computer Science, Data analysis, Data Analytics, Data Mining, Data visualization, Economics, Engineering",,
Data Scientist (Python/ML),Senior,Full Time,157000.0,Career development,onsite,,,w,"Agile, AWS, Azure, Big Data, BigQuery, Computer Science, Data analysis",,
Data Analytics Consultant,Senior,Full Time,69000.0,"Career development,Startup environment",onsite,,, Ethiopia,"Consulting, Data Analytics, Excel, Power BI, Privacy, Python, Qlik",Ethiopia,World
Data Analyst Intern - Singapore,Entry,Internship,,Career development,onsite,,, Singapore,"Data analysis, GCP, Google Cloud, Machine Learning, ML models, Python, SQL",Singapore,World
Data Analyst Intern,Entry,Internship,,"Career development,Flex hours,Flex vacation,Gear,Health care",remote,,, Remote,"Business Intelligence, Data Analytics, Data visualization, Data warehouse, Finance, FinTech, Power BI",,
Cloud Data Engineer (H/F),Entry,Full Time,56000.0,Salary bonus,onsite,,, France,"Agile, Azure, Big Data, Data management, DataOps, DevOps, ETL",France,World
Senior Manager / Director of Global Data Analytics,Senior,Full Time,293500.0,"Career development,Competitive pay,Flex hours,Flex vacation,Gear",onsite,,, United States,"Data Analytics, Data visualization, Engineering, GCP, Google Cloud, Looker, Machine Learning",United States,World
"Research Engineer, Path/Motion Planning",Senior,Full Time,199500.0,"Career development,Equity,Health care,Insurance,Medical leave",onsite,,, BC,"Computer Science, Engineering, GitLab, Jira, PhD, Python, PyTorch",,
"Principal Engineer, Data Security",Senior,Full Time,88500.0,,onsite,,, Canada,"Architecture, AWS, Azure, Biology, Chemistry, Data pipelines, Engineering",Canada,World
"VP, Technology- Data Engineering",Executive,Full Time,248500.0,Startup environment,onsite,,, India,"Agile, Architecture, Azure, Big Data, Business Intelligence, Computer Science, Databricks",India,World
Data Scientist - New College Graduate,Entry,Full Time,69500.0,Career development,onsite,,, Philippines,"APIs, Clustering, Computer Science, Data visualization, Deep Learning, Docker, EDA",Philippines,World
DDO Â Data Management - Senior Financial Quality Management Analyst,Senior,Full Time,88500.0,"Gear,Home office stipend",onsite,,, Portugal,"Banking, Data governance, Data management, Data quality, Finance, Power BI, Tableau",Portugal,World
Data Analyst,Mid,Full Time,98500.0,"Health care,Insurance",onsite,,, United States,"Data Analytics, KPIs, Oracle, Power BI, SQL, Statistics",United States,World
"Data Engineer, Analytics (m/f/x)",Senior,Full Time,,"Career development,Flex hours",onsite,,, Austria,"Agile, Architecture, CI/CD, Machine Learning, Python, R, SQL",Austria,World
Senior/Mid Machine Learning Engineer,Mid,Full Time,104500.0,"Career development,Competitive pay,Conferences,Flex hours,Health care",onsite,,, Greece,"Architecture, ASR, AWS, Big Data, BigQuery, Computer Vision, Data Analytics",Greece,World
ETL Developer,Senior,Full Time,156500.0,"Competitive pay,Health care",onsite,,, United States,"Azure, Banking, Big Data, Computer Science, Data warehouse, ELT, ETL",United States,World
Data Engineer,Mid,Full Time,57500.0,"Career development,Competitive pay,Equity,Flex vacation,Startup environment",remote,,, Remote,"CI/CD, Databricks, Data quality, Data warehouse, Engineering, ETL, Machine Learning",,
Machine Learning/Artificial Intelligence Intern,Entry,Internship,67000.0,"Career development,Equity,Health care,Salary bonus,Startup environment",onsite,,, United States,"Biology, Computer Science, HPC, Linux, Machine Learning, NLP, PhD",United States,World
Senior Data Analyst,Senior,Full Time,111000.0,"Career development,Medical leave,Salary bonus",onsite,,, Costa Rica,"AWS, Business Intelligence, Consulting, Data analysis, Data Mining, EDA, Engineering",Costa Rica,Latin America
Senior Big Data Engineer - Data & AI,Senior,Full Time,45000.0,,onsite,,, Poland,"Agile, Airflow, Big Data, BigQuery, CI/CD, Dataflow, Data governance",Poland,World
Data Scientist / ML Engineer,Mid,Full Time,50000.0,"Career development,Startup environment",onsite,,, Spain,"AWS, Azure, Keras, Machine Learning, NLP, PyTorch, Research",Spain,World
"Senior Engineering Manager, Data Engineering",Senior,Full Time,227000.0,"401(k) matching,Career development,Equity,Flexible spending account,Flex vacation",remote,,,,"Architecture, Business Intelligence, Databricks, Data governance, Data management, DataOps, Data Warehousing",,
Data Analyst - Marketplace,Senior,Full Time,111000.0,"Equity,Flex hours,Insurance,Parental leave",onsite,,, India,"A/B testing, Computer Science, Data Mining, Engineering, Excel, Mathematics, SQL",India,World
Stage - Deep Learning Engineer (H/F),Entry,Full Time,56000.0,"Career development,Salary bonus",onsite,,, France,"Agile, Deep Learning, Engineering, Machine Learning, Python, PyTorch, TensorFlow",France,World
Data Operations Analyst II (R-13902),Senior,Full Time,88500.0,,remote,,, United States,"Business Intelligence, Computer Science, Data analysis, DataOps, Power BI, Privacy, Python",United States,World
Tech lead : Sr. ML Engineer,Senior,Full Time,185500.0,,onsite,,, India,"Airflow, Architecture, AWS, Azure, Caffe, Computer Vision, Data pipelines",India,World
Sr Applied Data Scientist,Senior,Full Time,113500.0,"Competitive pay,Team events",onsite,,, India,"CX, Engineering, Excel, GitHub, Mathematics, R, SQL",India,World
Senior Data Engineer (H/F),Senior,Full Time,147500.0,Salary bonus,onsite,,, France,"Azure, Big Data, DataOps, DevOps, GCP, Hadoop, HDFS",France,World
(Senior) Machine Learning Engineer (m/f/d),Senior,Full Time,166000.0,"Career development,Conferences,Flex hours,Flex vacation,Salary bonus",onsite,,, Portugal,"AWS, CX, Data pipelines, DevOps, Docker, Engineering, ETL",Portugal,World
ML Engineer,Mid,Full Time,128500.0,"Career development,Competitive pay,Conferences,Flex hours,Health care",onsite,,, Croatia,"Architecture, Big Data, Databricks, Data quality, DevOps, Engineering, Machine Learning",Croatia,World
Software Engineer (ETL / Data Engineer),N/A,Full Time,133000.0,Career development,onsite,,, Kansas,"Agile, AWS, Computer Science, Data Analytics, Databricks, Data pipelines, Data warehouse",,
Data Engineer,Mid,Full Time,96500.0,"Career development,Competitive pay",remote,,, Remote,"Azure, Databricks, DevOps, Engineering, Machine Learning, Power BI, Python",,
"Machine Learning Engineer, AFRY X MalmÃ¶",Senior,Full Time,166000.0,"Career development,Startup environment",onsite,,, Sweden,"Classification, Clustering, Data analysis, Deep Learning, Engineering, Feature engineering, Industrial",Sweden,World
Data Engineer,Mid,Full Time,96500.0,"Career development,Flex hours,Flex vacation,Health care,Insurance",onsite,,, India,"APIs, Architecture, Azure, Big Data, Classification, Databricks, Data management",India,World
Senior Data Analyst,Senior,Full Time,111000.0,,onsite,,,Bengaluru,"Business Analytics, Data Mining, Economics, Looker, SQL, Statistics, Tableau",,
Senior Data Engineer - Analytics,Senior,Full Time,147500.0,,onsite,,,Bengaluru,"Architecture, AWS, BigQuery, Computer Science, Data pipelines, Data warehouse, ELT",,
Machine Learning Engineer,Senior,Full Time,166000.0,"Career development,Equity,Flex hours,Flex vacation,Health care",remote,,, Remote,"AWS, CI/CD, Engineering, Machine Learning, ML models, Model deployment, Pipelines",,
"Lead Data Engineer, London",Mid,Full Time,96500.0,"Career development,Competitive pay,Flex hours,Startup environment,Team events",onsite,,, United Kingdom,"Airflow, AWS, Azure, Big Data, BigQuery, CI/CD, Consulting",United Kingdom,World
"Data Analyst, Customer Experience",Senior,Full Time,111000.0,"Competitive pay,Equity",onsite,,, Philippines,"A/B testing, CX, Data analysis, EDA, KPIs, Research, SQL",Philippines,World
Big Data Graduate Program 2023,Entry,Full Time,62500.0,"Career development,Competitive pay,Health care,Home office stipend,Insurance",onsite,,, Canada,"Big Data, Computer Science, Consulting, DevOps, Elasticsearch, Engineering, GCP",Canada,World
